date,store_name,brand,budget,actual_sales,variance,variance_pct,customer_count,avg_spend,year,month,month_name,quarter,day_of_week,is_weekend,week_of_year
2021-01-02,OASIS,CREAMY INN,230.00281272583328,121.5,-108.50281272583328,-47.17455905861909,28.0,4.339285714285714,2021,1,January,1,Saturday,True,53
2021-01-03,LA PIAZZA,CHICKEN INN,2311.663500000001,1709.75,-601.9135000000006,-26.038110650620236,191.0,8.951570680628272,2021,1,January,1,Sunday,True,53
2021-01-03,LA PIAZZA,PIZZA INN,3543.9655,4024.5,480.5345000000002,13.55923188304176,294.0,13.68877551020408,2021,1,January,1,Sunday,True,53
2021-01-03,LA PIAZZA,CREAMY INN,940.4999999999998,551.5,-388.9999999999998,-41.360978203083455,137.0,4.025547445255475,2021,1,January,1,Sunday,True,53
2021-01-03,LA PIAZZA,GALITOS,1298.3935,937.75,-360.6435000000001,-27.77613258230268,111.0,8.448198198198199,2021,1,January,1,Sunday,True,53
2021-01-03,CARREFOUR,CHICKEN INN,3333.920500000001,2283.25,-1050.670500000001,-31.514563709602577,242.0,9.4349173553719,2021,1,January,1,Sunday,True,53
2021-01-03,CARREFOUR,PIZZA INN,6263.567999999999,7223.75,960.1820000000008,15.32963320586606,453.0,15.946467991169978,2021,1,January,1,Sunday,True,53
2021-01-03,CARREFOUR,CREAMY INN,1572.1074999999998,1079.03,-493.0774999999999,-31.36410837045176,215.0,5.018744186046511,2021,1,January,1,Sunday,True,53
2021-01-03,CARREFOUR,GALITOS,1709.8860000000002,1039.5,-670.3860000000002,-39.20647341401708,104.0,9.995192307692308,2021,1,January,1,Sunday,True,53
2021-01-03,CITY MARKET,CHICKEN INN,981.2740000000002,779.0,-202.27400000000023,-20.613406652983794,145.0,5.372413793103449,2021,1,January,1,Sunday,True,53
2021-01-03,CITY MARKET,PIZZA INN,642.0329999999999,473.0,-169.0329999999999,-26.32777442904024,72.0,6.569444444444445,2021,1,January,1,Sunday,True,53
2021-01-03,JUNCTION,CHICKEN INN,4266.494100000001,3997.0,-269.4941000000008,-6.316523442514564,393.0,10.170483460559796,2021,1,January,1,Sunday,True,53
2021-01-03,JUNCTION,PIZZA INN,9081.903599999998,9618.25,536.3464000000022,5.905660570984285,502.0,19.159860557768923,2021,1,January,1,Sunday,True,53
2021-01-03,JUNCTION,CREAMY INN,1202.9985,891.0,-311.9984999999999,-25.935069744475985,172.0,5.180232558139535,2021,1,January,1,Sunday,True,53
2021-01-03,JUNCTION,GALITOS,2693.4039,1925.75,-767.6538999999998,-28.50125449064657,159.0,12.111635220125786,2021,1,January,1,Sunday,True,53
2021-01-03,OASIS,CHICKEN INN,1172.1925442478623,1192.5,20.307455752137685,1.7324334514657715,147.0,8.112244897959183,2021,1,January,1,Sunday,True,53
2021-01-03,OASIS,PIZZA INN,3916.176283009893,3415.0,-501.1762830098924,-12.797592518605894,237.0,14.40928270042194,2021,1,January,1,Sunday,True,53
2021-01-03,OASIS,CREAMY INN,233.34217028770064,363.5,130.15782971229936,55.77981448952004,58.0,6.267241379310345,2021,1,January,1,Sunday,True,53
2021-01-04,LA PIAZZA,CHICKEN INN,1214.5560000000005,759.25,-455.30600000000027,-37.48744397129487,116.0,6.545258620689655,2021,1,January,1,Monday,False,1
2021-01-04,LA PIAZZA,PIZZA INN,1656.4009999999998,1851.0,194.59900000000016,11.74830249438392,147.0,12.591836734693878,2021,1,January,1,Monday,False,1
2021-01-04,LA PIAZZA,CREAMY INN,517.8924999999998,333.5,-184.3924999999998,-35.6043966653311,86.0,3.877906976744186,2021,1,January,1,Monday,False,1
2021-01-04,LA PIAZZA,GALITOS,740.7150000000001,588.25,-152.46500000000017,-20.583490276287115,86.0,6.840116279069767,2021,1,January,1,Monday,False,1
2021-01-04,CARREFOUR,CHICKEN INN,1522.0140000000004,1141.0,-381.0140000000004,-25.033541084379006,151.0,7.556291390728477,2021,1,January,1,Monday,False,1
2021-01-04,CARREFOUR,PIZZA INN,2228.3459999999995,3620.5,1392.1540000000005,62.47476828104796,250.0,14.482,2021,1,January,1,Monday,False,1
2021-01-04,CARREFOUR,CREAMY INN,725.7430000000002,751.5,25.756999999999834,3.549052488277507,144.0,5.21875,2021,1,January,1,Monday,False,1
2021-01-04,CARREFOUR,GALITOS,761.9000000000001,548.0,-213.9000000000001,-28.074550465940423,59.0,9.28813559322034,2021,1,January,1,Monday,False,1
2021-01-04,CITY MARKET,CHICKEN INN,774.4520000000002,754.0,-20.452000000000226,-2.640835067893197,119.0,6.336134453781512,2021,1,January,1,Monday,False,1
2021-01-04,CITY MARKET,PIZZA INN,430.7939999999999,325.25,-105.54399999999988,-24.49987697135984,50.0,6.505,2021,1,January,1,Monday,False,1
2021-01-04,JUNCTION,CHICKEN INN,2009.1060000000004,2355.25,346.14399999999955,17.228757467251576,261.0,9.023946360153255,2021,1,January,1,Monday,False,1
2021-01-04,JUNCTION,PIZZA INN,3510.8964,5665.0,2154.1036000000004,61.35480386148679,333.0,17.01201201201201,2021,1,January,1,Monday,False,1
2021-01-04,JUNCTION,CREAMY INN,351.59849999999994,568.0,216.40150000000008,61.547901939285886,100.0,5.68,2021,1,January,1,Monday,False,1
2021-01-04,JUNCTION,GALITOS,1400.9985,1051.5,-349.4985000000001,-24.94638645223389,107.0,9.82710280373832,2021,1,January,1,Monday,False,1
2021-01-04,OASIS,CHICKEN INN,551.9892958022948,712.0,160.0107041977052,28.988008538306147,88.0,8.090909090909092,2021,1,January,1,Monday,False,1
