date,store_name,brand,budget,actual_sales,variance,variance_pct,customer_count,avg_spend
11/1/2021,CITY MARKET,CHICKEN INN,768.516,333.25,-435.266,-56.63720729,97,3.43556701
11/1/2021,JUNCTION,CHICKEN INN,1592.9991,1412.5,-180.4991,-11.33077225,159,8.883647799
11/1/2021,OASIS,CHICKEN INN,437.66653,412.75,-24.91653,-5.693039859,58,7.11637931
12/1/2021,OASIS,CHICKEN INN,376.8399969,679.25,302.4100031,80.24891348,61,11.1352459
12/1/2021,JUNCTION,CHICKEN INN,1371.6054,1532,160.3946,11.6939318,209,7.330143541
12/1/2021,CITY MARKET,CHICKEN INN,620.137,497.75,-122.387,-19.73547781,127,3.919291339
12/1/2021,CARREFOUR,CHICKEN INN,1447.173,978.75,-468.423,-32.3681412,136,7.196691176
12/1/2021,LA PIAZZA,CHICKEN INN,914.014,602.5,-311.514,-34.08197249,102,5.906862745
13/1/2021,LA PIAZZA,CHICKEN INN,979.6495,596.25,-383.3995,-39.13639521,90,6.625
13/1/2021,CARREFOUR,CHICKEN INN,1062.271,887.5,-174.771,-16.45258131,134,6.623134328
13/1/2021,CITY MARKET,CHICKEN INN,540.694,380.75,-159.944,-29.58124189,108,3.525462963
13/1/2021,JUNCTION,CHICKEN INN,1619.3925,1555,-64.3925,-3.976336805,189,8.227513228
13/1/2021,OASIS,CHICKEN INN,444.9179514,459,14.08204858,3.165088875,67,6.850746269
14/1/2021,JUNCTION,CHICKEN INN,1677.2976,1603.5,-73.7976,-4.399791665,179,8.958100559
14/1/2021,CITY MARKET,CHICKEN INN,569.863,421.75,-148.113,-25.9909838,122,3.456967213
14/1/2021,OASIS,CHICKEN INN,460.8270151,480.5,19.67298486,4.269060671,67,7.171641791
14/1/2021,LA PIAZZA,CHICKEN INN,962.3785,758.25,-204.1285,-21.21083337,131,5.788167939
14/1/2021,CARREFOUR,CHICKEN INN,1137.986,1033.25,-104.736,-9.203628164,163,6.338957055
15/1/2021,LA PIAZZA,CHICKEN INN,1125.028,914.25,-210.778,-18.73535592,127,7.198818898
15/1/2021,CARREFOUR,CHICKEN INN,1869.771,867.5,-1002.271,-53.60394401,124,6.995967742
15/1/2021,CITY MARKET,CHICKEN INN,519.484,529.25,9.766,1.879942404,147,3.600340136
15/1/2021,JUNCTION,CHICKEN INN,3173.445,1204.5,-1968.945,-62.04440285,164,7.344512195
15/1/2021,OASIS,CHICKEN INN,871.8841469,571,-300.8841469,-34.50964764,68,8.397058824
16/1/2021,JUNCTION,CHICKEN INN,2631.0636,2180.5,-450.5636,-17.12477038,251,8.687250996
16/1/2021,CITY MARKET,CHICKEN INN,907.669,360.25,-547.419,-60.31042153,98,3.676020408
16/1/2021,OASIS,CHICKEN INN,722.8682527,791.25,68.38174727,9.45978012,96,8.2421875
16/1/2021,LA PIAZZA,CHICKEN INN,1386.4205,896.75,-489.6705,-35.31904642,136,6.59375
16/1/2021,CARREFOUR,CHICKEN INN,1752.8925,1156.75,-596.1425,-34.00907357,151,7.660596026
17/1/2021,LA PIAZZA,CHICKEN INN,1678.6215,1012.75,-665.8715,-39.66775714,154,6.576298701
17/1/2021,CARREFOUR,CHICKEN INN,2169.1635,2140,-29.1635,-1.344458359,242,8.842975207
17/1/2021,CITY MARKET,CHICKEN INN,555.338,360.5,-194.838,-35.08457912,69,5.224637681
17/1/2021,JUNCTION,CHICKEN INN,3242.151,3635,392.849,12.11692484,345,10.53623188
17/1/2021,OASIS,CHICKEN INN,890.7606903,997.25,106.4893097,11.95487305,127,7.852362205
18/1/2021,LA PIAZZA,CHICKEN INN,1091.3505,947,-144.3505,-13.22677728,115,8.234782609
18/1/2021,CARREFOUR,CHICKEN INN,1104.5935,1393.5,288.9065,26.15500634,159,8.764150943
18/1/2021,CITY MARKET,CHICKEN INN,565.089,334.25,-230.839,-40.85002539,83,4.027108434
18/1/2021,JUNCTION,CHICKEN INN,1515.3039,1658.25,142.9461,9.433493836,184,9.012228261
18/1/2021,OASIS,CHICKEN INN,416.3202602,483,66.6797398,16.01645324,65,7.430769231
19/1/2021,OASIS,CHICKEN INN,416.3202602,388.5,-27.8202602,-6.682418047,54,7.194444444
19/1/2021,JUNCTION,CHICKEN INN,1515.3039,1694.5,179.1961,11.82575324,190,8.918421053
19/1/2021,LA PIAZZA,CHICKEN INN,1173.1075,840.5,-332.6075,-28.3526872,143,5.877622378
19/1/2021,CARREFOUR,CHICKEN INN,1359.3645,876.75,-482.6145,-35.50295009,146,6.005136986
