date,year,quarter,month,month_name,year_month,week_number,day,day_of_week,day_of_week_num,is_weekend,is_month_end,country,region,complex,brand,budget,actual_revenue,variance_budget,variance_budget_pct,sdlm_revenue,sdlm_revenue_var,sdlm_revenue_var_pct,sdly_revenue,sdly_revenue_var,sdly_revenue_var_pct,customer_count,sdlm_customer_count,sdly_customer_count,avg_spend,sdlm_avg_spend,sdly_avg_spend,is_synthetic
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,CARREFOUR,CHICKEN INN,1319.659101,1167.88,-151.7791013,-11.50138707,1438.79,-270.91,-18.82901605,1188,-20.12,-1.693602694,164,203,159,7.121219512,7.087635468,7.471698113,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,CARREFOUR,CREAMY INN,556.5897149,550.91,-5.679714924,-1.020449134,662.12,-111.21,-16.79604905,588.07,-37.16,-6.318975632,172,207,167,3.202965116,3.198647343,3.521377246,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,CARREFOUR,GALITOS,932.3350964,738.24,-194.0950964,-20.81816904,952.79,-214.55,-22.51807849,1097.21,-358.97,-32.7166176,83,91,97,8.894457831,10.47021978,11.3114433,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,CARREFOUR,PIZZA INN,3295.429369,2348.49,-946.939369,-28.73493141,3155.68,-807.19,-25.57895604,3162.94,-814.45,-25.74977711,205,253,273,11.45604878,12.47304348,11.58586081,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,CITY MARKET,CHICKEN INN,1051.211531,1097.88,46.66846923,4.439493657,1038.18,59.7,5.750447899,1344.06,-246.18,-18.3161466,321,363,472,3.420186916,2.86,2.847584746,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,CITY MARKET,PIZZA INN,675.6683661,507.03,-168.6383661,-24.95874819,251.67,255.36,101.4662057,721.12,-214.09,-29.68854005,74,51,80,6.851756757,4.934705882,9.014,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,INN-KIN,CHICKEN INN,1985.96547,1609.09,-376.8754696,-18.9769397,2087.07,-477.98,-22.90196304,1251.7,357.39,28.55236878,213,210,169,7.554413146,9.938428571,7.406508876,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,INN-KIN,CREAMY INN,468.280594,354.24,-114.040594,-24.35304718,232.91,121.33,52.09308317,275.64,78.6,28.51545494,101,65,68,3.507326733,3.583230769,4.053529412,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,INN-KIN,GALITOS,1098.244835,1480.91,382.6651651,34.84333847,1641.52,-160.61,-9.784224377,792.14,688.77,86.95053905,180,177,96,8.227277778,9.274124294,8.251458333,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,INN-KIN,PIZZA INN,2792.573165,2881.88,89.30683461,3.198012346,3057.21,-175.33,-5.734967503,2430.37,451.51,18.57782971,229,241,214,12.58462882,12.68551867,11.35686916,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,LA PIAZZA,CHICKEN INN,1069.702223,1229.7,159.9977769,14.9572258,1130,99.7,8.82300885,1070.96,158.74,14.82221558,203,191,209,6.057635468,5.916230366,5.124210526,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,LA PIAZZA,CREAMY INN,332.5067169,449.09,116.5832831,35.06193323,476.66,-27.57,-5.783996979,351.76,97.33,27.6694337,92,106,73,4.881413043,4.496792453,4.818630137,0
